datasets,acc_1,acc_2,mcc_1,mcc_2,f1_1,f1_2,prec1,prec2,recall1,recall2,auc1,auc2,effort1,effort2
activemq,0.7539908214166944,0.7531917359494512,0.36005453869064497,0.35731077325972554,0.4716927589845895,0.46972065027474513,0.36061134500081893,0.35910557241316354,0.6834445161290321,0.6803877419354838,0.7254641226515421,0.7237521481744063,0.5375277419354838,0.5343103225806451
camel,0.788361472665926,0.7884365959059341,0.38042034867188473,0.3807603603831261,0.44392122857254906,0.4441738588308356,0.3198659506431051,0.3201324300279116,0.7266105117974484,0.7269080340869907,0.7615436961979913,0.7617154516254716,0.44048519777350875,0.44013866312004335
derby,0.7560207680537852,0.7560823898541715,0.32991347834328116,0.3284572892346879,0.40427444907846233,0.4033774697816579,0.2844379601508954,0.28401383482062814,0.7005937031484257,0.6977346326836582,0.7320119472986727,0.7308086503275747,0.5110052473763118,0.5085787106446776
geronimo,0.7794515947337767,0.7798537381601938,0.3432420262373908,0.34446909651636837,0.41515668000078587,0.41606233157714295,0.299027449984015,0.29970550544252605,0.6804315605928509,0.6818253414705029,0.7363689804902134,0.7372022932890447,0.5541970357454228,0.5553757628596337
hbase,0.7577735563095906,0.7573414857499594,0.39081555087579245,0.3908007832907133,0.5135004607299181,0.51345820913179,0.40737881186685776,0.40698290198753695,0.6965543071161049,0.6975655430711611,0.7340253932923009,0.7341532021702624,0.5097378277153559,0.5108239700374533
hcommon,0.8186579694637078,0.8190273643636308,0.3404989529106441,0.3410058368379528,0.3408926863584959,0.3413887244940254,0.2203691543162522,0.2207788448216022,0.7541342631727247,0.7542473231896308,0.7885316217601241,0.7887810876383008,0.695953437588053,0.6952926880811497
mahout,0.8191874640297181,0.8170479516559409,0.44439078602245363,0.44146446258607785,0.5338218142106695,0.5312409274186686,0.44108178610971127,0.4371969870032097,0.6795238095238096,0.6807142857142858,0.7618780167822721,0.7611050061050061,0.36380952380952375,0.36404761904761906
openjpa,0.7499227905966451,0.7494054283542154,0.29905217184173133,0.2973086282825593,0.3700742111480251,0.36885134627143285,0.25516899063565013,0.25436755535541905,0.6758447204968945,0.6735320910973085,0.717398398577185,0.716093072525329,0.469728778467909,0.46639958592132497
pig,0.7553912915563401,0.7564585172109444,0.3631532558354144,0.3665548825827429,0.46450592585968603,0.46703491876455594,0.348478786789322,0.35039731770652593,0.7004024051803885,0.7040980573543015,0.7327908174277991,0.7349426083363967,0.4954810360777058,0.4993802035152637
tuscany,0.7918130521674986,0.7917111681505499,0.29734669919345713,0.29730670930088565,0.3182006473399271,0.31813598156997813,0.20641828874403328,0.20635965157248592,0.6959417218543047,0.6960724061810154,0.7474706876531007,0.747476327114075,0.5338512141280353,0.5335187637969094
